; ═ 트레잇 합성 레시피 v2 (2026-07-17 전면 재생성 — 구 TSYN 30 은퇴) ═
SYN_0234,순수용해,CT_DISSOLVE_FLUID;CT_DISTILL,CT_PURE_DISSOLVE,전투,3,—,레거시
SYN_0235,광전사,PT_COMBATIVE;PT_FEARLESS,CT_BERSERKER,전투,3,—,레거시
SYN_0236,위기감지,PT_TIMID;PT_VIGILANT,PT_CRISIS_SENSE,성격,3,—,레거시
SYN_0237,분리불안,PT_CLINGY;PT_DEPENDENT,PT_SEPARATION_ANX,성격,3,—,레거시
SYN_0238,몸바침,PT_DEVOTED;PT_PASSIVE,AT_DEVOTION_SERVICE,성인,3,—,레거시
SYN_0239,은둔,PT_INTROVERTED;PT_SHY,PT_SECLUSION,성격,3,—,레거시
SYN_0240,연구광,PT_CURIOUS;PT_OBSERVANT,PT_RESEARCH_MANIA,성격,3,—,레거시
SYN_0241,불굴,PT_CLEAN_FREAK;PT_STUBBORN,CT_INDOMITABLE,전투,3,—,레거시
SYN_0242,개화,AT_DISSOLVING_BODY;AT_INEXPERIENCED,AT_BLOOM,성인,3,—,레거시
SYN_0243,철벽감각,AT_NUMB_CONSTITUTION;AT_SLOW_CONSTITUTION,AT_IRON_SENSE,성인,3,—,레거시
SYN_0244,완전개방,AT_GUARD_RELEASE;AT_TRUST_UNLOCK,AT_FULL_OPEN,성인,3,—,레거시
SYN_0245,조건반사,AT_LEARNING_RESPONSE;AT_PLASTICITY,AT_CONDITIONED,성인,3,—,레거시
SYN_0246,유순,AT_DEFENSELESS;AT_FAINT_SENSE,PT_MEEK,성격,3,—,레거시
SYN_0247,완전분석,AT_DISSECTION_SENSITIVITY;AT_RECORD_CONSTITUTION,CT_FULL_ANALYSIS,전투,4,—,레거시
